iter	Passed	Remaining
179	226	1029
180	226	1026
181	227	1023
182	228	1019
183	228	1015
184	229	1011
185	230	1007
186	230	1003
187	231	998
188	231	994
189	232	990
190	232	986
191	233	982
192	233	977
193	234	974
194	235	970
195	235	966
196	236	962
197	236	958
198	237	955
199	238	952
200	238	948
201	239	944
202	240	942
203	241	943
204	242	941
205	243	937
206	243	934
207	244	931
208	245	927
209	245	924
210	246	921
211	246	917
212	247	914
213	247	910
214	248	907
215	249	904
216	249	901
217	250	898
218	250	894
219	251	891
220	252	888
221	252	885
222	253	882
223	253	879
224	256	883
225	257	881
226	257	878
227	258	875
228	259	872
229	259	869
230	260	866
231	260	863
232	261	860
233	262	858
234	262	855
235	263	852
236	264	850
237	264	847
238	265	844
239	265	841
240	266	838
241	266	835
242	267	833
243	268	830
244	268	827
245	270	830
246	272	832
247	273	829
248	274	827
249	275	825
250	276	823
251	276	821
252	277	818
253	277	815
254	278	812
255	278	810
256	279	808
257	280	806
258	281	804
259	281	802
260	282	800
261	283	798
262	285	801
263	287	801
264	288	800
265	289	798
266	290	797
267	291	795
268	291	793
269	292	790
270	293	788
271	293	785
272	294	783
273	295	781
274	295	780
275	296	777
276	297	775
277	298	774
278	300	777
279	301	774
280	302	773
281	302	771
282	303	769
283	304	767
284	305	765
285	305	763
286	306	761
287	307	760
288	308	758
289	309	756
290	309	754
291	310	752
292	311	750
293	311	748
294	313	750
295	314	748
296	315	747
297	316	745
298	317	743
299	317	741
300	318	739
301	318	737
302	319	734
303	320	732
304	320	730
305	321	728
306	322	726
307	322	724
308	323	722
309	323	720
310	324	718
311	324	716
312	325	714
313	326	712
314	328	715
315	329	713
316	330	711
317	330	709
318	331	707
319	332	705
320	332	703
321	333	701
322	334	700
323	334	698
324	335	696
325	335	693
326	336	692
327	336	689
328	337	688
329	337	686
330	338	684
331	339	682
332	339	680
333	340	678
334	340	676
335	341	674
336	342	673
337	343	673
338	344	671
339	345	669
340	345	667
341	346	665
342	346	664
343	347	662
344	347	660
345	348	658
346	348	656
347	349	654
348	350	653
349	350	651
350	351	649
351	352	648
352	352	646
353	353	644
354	353	642
355	354	641
356	355	639
357	355	637
358	358	639
359	358	637
360	359	636
361	360	634
362	360	633
363	361	631
364	362	630
365	362	628
366	363	626
367	363	624
368	364	623
369	365	621
370	365	619
371	366	617
372	366	616
373	367	614
374	368	613
375	368	611
376	369	610
377	369	608
378	370	606
379	372	607
380	372	605
381	373	604
382	374	603
383	375	601
384	375	600
385	376	598
386	376	597
387	377	595
388	378	593
389	378	592
390	379	590
391	379	589
392	380	587
393	381	586
394	381	584
395	382	583
396	383	581
397	383	580
398	384	578
399	385	577
400	385	575
401	386	575
402	387	573
403	387	572
404	388	570
405	389	569
406	390	568
407	390	567
408	391	565
409	391	564
410	392	562
411	393	561
412	394	560
413	394	558
414	395	557
415	396	556
416	396	554
417	397	553
418	398	552
419	398	550
420	399	549
421	400	548
422	401	547
423	402	546
424	402	544
425	403	543
426	404	542
427	404	540
428	405	539
429	406	538
430	406	536
431	407	535
432	407	534
433	408	532
434	409	531
435	410	530
436	410	529
437	411	527
438	412	526
439	412	525
440	413	524
441	414	522
442	415	521
443	415	520
444	416	519
445	417	518
446	417	516
447	418	515
448	419	514
449	419	513
450	420	511
451	421	510
452	421	509
453	422	508
454	423	506
455	423	505
456	424	504
457	424	502
458	425	501
459	426	500
460	426	498
461	427	497
462	428	496
463	429	495
464	429	494
465	430	493
466	430	491
467	431	490
468	432	489
469	432	487
470	433	486
471	434	485
472	434	484
473	435	482
474	435	481
475	436	480
476	437	479
477	437	478
478	438	476
479	438	475
480	439	474
481	440	473
482	440	471
483	441	470
484	442	469
485	442	468
486	443	466
487	443	465
488	444	464
489	444	463
490	445	461
491	446	460
492	446	459
493	447	458
494	447	456
495	448	455
496	449	454
497	449	453
498	450	451
499	450	450
